Threads,m,n,k,Schedule,Time(s)
1,128,128,128,default,0.0011
1,256,256,256,default,0.0103
1,512,512,512,default,0.1624
1,1024,1024,1024,default,3.6358
1,2048,2048,2048,default,41.0490
2,128,128,128,default,0.0006
2,256,256,256,default,0.0053
2,512,512,512,default,0.0573
2,1024,1024,1024,default,1.8407
2,2048,2048,2048,default,27.6258
4,128,128,128,default,0.0004
4,256,256,256,default,0.0027
4,512,512,512,default,0.0358
4,1024,1024,1024,default,1.0769
4,2048,2048,2048,default,17.0219
8,128,128,128,default,0.0003
8,256,256,256,default,0.0027
8,512,512,512,default,0.0237
8,1024,1024,1024,default,0.7831
8,2048,2048,2048,default,12.2293
16,128,128,128,default,0.0051
16,256,256,256,default,0.0108
16,512,512,512,default,0.0292
16,1024,1024,1024,default,0.6687
16,2048,2048,2048,default,11.2616
8,2048,2048,2048,static,11.8598
8,2048,2048,2048,dynamic,11.8623
8,2048,2048,2048,guided,12.0785
